source_category,nsi_id,display_name,tags_brand,brand_wikidata,location_include,location_exclude,match_names_count,match_input_name,match_slug,match_status,matched_image_svg,matched_image_png
supermarket,iperfrescobasko-0cb133,Iperfresco Basko,Iperfresco Basko,Q136464623,it,,0,Iperfresco Basko,iperfresco-basko,no,,
convenience,ipiranga-12bebb,Ipiranga,Ipiranga,Q2081136,br,,0,Ipiranga,ipiranga,no,,
convenience,irving-16ec4d,Irving,Irving,Q1673286,ca|us,,1,Irving,irving,no,,
supermarket,italmark-0cb133,Italmark,Italmark,Q126392586,it,,0,Italmark,italmark,no,,
convenience,jandhfamilystores-d554ea,J&H Family Stores,J&H Family Stores,,us-mi.geojson,,0,J&H Family Stores,j-h-family-stores,no,,
convenience,jacksons-f1e40b,Jacksons,Jacksons,Q64617393,us,,0,Jacksons,jacksons,no,,
supermarket,janlinders-5811b5,Jan Linders,Jan Linders,Q2200982,nl,,0,Jan Linders,jan-linders,no,,
supermarket,jayagrocer-80e9ee,Jaya Grocer,Jaya Grocer,Q116275052,my,,0,Jaya Grocer,jaya-grocer,no,,
supermarket,jewelosco-dde59d,Jewel-Osco,Jewel-Osco,Q3178470,us,,0,Jewel-Osco,jewel-osco,exact,jewel-osco.svg,
convenience,jiffy-c8e053,Jiffy,Jiffy,Q16770436,kh|la|ph|th,,0,Jiffy,jiffy,no,,
convenience,jiffymart-fe2c5d,Jiffy Mart,Jiffy Mart,Q119592174,us-nh.geojson|us-vt.geojson,,0,Jiffy Mart,jiffy-mart,no,,
convenience,joeskwikmarts-f1e40b,Joe's Kwik Marts,Joe's Kwik Marts,Q109871144,us,,0,Joe's Kwik Marts,joes-kwik-marts,no,,
supermarket,joker-ed9dd5,Joker,Joker,Q716328,no,,0,Joker,joker,no,,
supermarket,jumbo-1cf55d,Jumbo (Europe),Jumbo,Q2262314,be|nl,,2,Jumbo,jumbo,exact,jumbo.svg,
supermarket,jumbo-99a0d7,Jumbo (Cencosud),Jumbo,Q6310864,ar|cl|co,,0,Jumbo,jumbo,exact,jumbo.svg,
supermarket,kk-0a839e,K+K,K+K,Q1718009,de,,0,K+K,k-k,exact,k-k.svg,
supermarket,kcitymarket-46d3b7,K-Citymarket,K-Citymarket,Q11868561,fi,,0,K-Citymarket,k-citymarket,exact,,k-citymarket.png
convenience,kmarket-5dea79,K-Market,K-Market,Q11868562,fi,,0,K-Market,k-market,exact,k-market.svg,
supermarket,ksupermarket-46d3b7,K-Supermarket,K-Supermarket,Q5408668,fi,,0,K-Supermarket,k-supermarket,exact,,k-supermarket.png
supermarket,kammarket-2e3a41,Kam Market (Macedonia),Kam Market,Q65296228,mk,,0,Kam Market,kam-market,no,,
convenience,kangarooexpress-f1e40b,Kangaroo Express,Kangaroo Express,Q61747408,us,,0,Kangaroo Express,kangaroo-express,no,,
supermarket,kaufland-464a37,Kaufland,Kaufland,Q685967,cz|de|hr|md|pl|ro|sk,,0,Kaufland,kaufland,exact,kaufland.svg,kaufland.png
supermarket,kaufland-56b425,Kaufland (България),Kaufland,Q685967,bg,,0,Kaufland,kaufland,exact,kaufland.svg,kaufland.png
convenience,kentkwik-c3f9f6,Kent Kwik,Kent Kwik,Q110622262,us-nm.geojson|us-ok.geojson|us-tx.geojson,,0,Kent Kwik,kent-kwik,no,,
supermarket,keshetteamim-6b65f1,קשת טעמים,Keshet Teamim,,il,,0,Keshet Teamim,keshet-teamim,no,,
supermarket,ketal-cbfbb4,Ketal,Ketal,Q81967299,bo,,0,Ketal,ketal,no,,
supermarket,keyfood-dde59d,Key Food,Key Food,Q6398037,us,,0,Key Food,key-food,exact,key-food.svg,
convenience,keystore-232829,KeyStore,KeyStore,Q50528754,gb,,0,KeyStore,keystore,no,,
convenience,keystoreexpress-232829,KeyStore Express,KeyStore,Q50528754,gb,,0,KeyStore,keystore,no,,
convenience,keystoremore-232829,KeyStore More,KeyStore,Q50528754,gb,,0,KeyStore,keystore,no,,
