brand_name,match_status,matched_image,price_count,top_100_by_price
Safeway,exact,safeway.svg,11067,yes
Sainsbury's,approx,sainsbury-s.svg,144,
Sainsbury's Local,no,,51,
Sale,no,,862,yes
Sam's Club,no,,3,
Satoriz,no,,195,yes
Saturn,exact,saturn.svg,1,
Save-On-Foods,exact,save-on-foods.svg,60,
Savers,no,,3,
Schnucks,no,,1,
Selex,no,,1,
Selver,no,,6,
Sephora,exact,sephora.svg,2,
Shell,no,,1,
Sherpa,no,,118,
Shop&Go,no,,1,
Shoppers Drug Mart,no,,3,
ShopRite,no,,310,yes
Shoprite,no,,2,
Sitis,approx,sidis.svg,290,yes
Smart & Final,exact,smart-final.svg,370,yes
Sobeys,no,,4,
Sonnentor,no,,2,
Soriana,no,,45,
Spar,exact,spar.svg,932,yes
SPAR,exact,spar.svg,4,
SPAR Gourmet,exact,spar-gourmet.png,14,
Sprouts Farmers Market,no,,388,yes
Starbucks,no,,3,
Station U,no,,11,
Stokrotka,no,,1,
Stop & Shop,exact,stop-shop.svg,7,
Studenac,no,,7,
Supeco,no,,165,yes
Super 99,approx,super-u.png,1,
Super U,exact,super-u.png,8263,yes
SUPER U,exact,super-u.png,1,
Super U;Station U,no,,3,
Super-Pharm,no,,58,
SuperValu,exact,supervalu.svg,4,
Système U,no,,11,
Søstrene Grene,no,,1,
T&T Supermarket,exact,t-t-supermarket.svg,6,
Target,no,,180,yes
Taste,no,,1,
TEDi,exact,tedi.svg,2,
tegut,exact,tegut.svg,51,
Tesco,exact,tesco.png,20,
Tesco Express,no,,282,yes
Tesco Extra,no,,80,
Tesco Mobile,no,,1,
Thalia,no,,1,
The Co-operative Food,no,,55,
The Home Depot,no,,1,
The MarketPlace,no,,1,
The Range,no,,1,
The Vitamin Shoppe,no,,1,
Tiger,no,,1,
Tigotà,no,,1,
Tigros,approx,migros.svg,1,
TK Maxx,exact,tk-maxx.svg,2,
Todis,approx,tedi.svg,6,
Tom & Co,no,,1,
Tommy,approx,komm.png,8,
Tops,exact,tops.svg,9,
Total,no,,25,
Trader Joe's,exact,trader-joes.svg,599,yes
Truffaut,no,,1,
U Express,no,,1413,yes
UGC,approx,cgc.svg,4,
Unimarkt,approx,unimarc.png,1,
Univerexport,exact,univerexport.svg,3,
Utile,no,,576,yes
V'Lille,no,,1,
V-MARKT,no,,35,
Valcarce,no,,2,
Vishal Mega Mart,no,,1,
Vita,no,,1,
Vitusapotek,no,,2,
Vival,no,,277,yes
VOI,approx,vons.svg,2,
Vons,exact,vons.svg,7,
Votre Marché,no,,7,
Vélib' Métropole,no,,5,
VélôToulouse,no,,2,
Waitrose,exact,waitrose.svg,8,
Waitrose & Partners,no,,1,
Walgreens,no,,1,
Walmart,exact,walmart.svg,666,yes
Weis,no,,30,
Weldom,no,,1,
Westfield,no,,1,
Whole Foods Market,exact,whole-foods-market.svg,4017,yes
WHSmith,exact,whsmith.svg,22,
Willys,exact,willys.svg,1170,yes
WinCo Foods,exact,winco-foods.svg,56,
Winn-Dixie,exact,winn-dixie.svg,1,
Winners,exact,winners.svg,2,
Woolworths,no,,10,
World Market,no,,8,
Xenos,no,,1,
XXL,no,,1,
Yorma’s,approx,norma.svg,19,
Zeeman,no,,3,
Zehrs,exact,zehrs.png,2,
Żabka,no,,216,yes
ΑΒ Βασιλόπουλος,no,,7,
Σκλαβενίτης,no,,1,
Аврора,no,,4,
АТБ-Маркет,no,,1,
Вопак,no,,3,
Лента,no,,2,
Магнит,exact,magnit.svg,13,
Магнолия,no,,5,
Монетка,exact,monetka.png,5,
Пятёрочка,no,,1,
Раз Два,no,,1,
Сільпо,no,,6,
Фантастико,no,,2,
Чижик,no,,3,
רמי לוי שיווק השקמה,no,,2,
კარფური,no,,1,
イオンモール,no,,1,
オリンピック,no,,2,
ハナマサ,no,,1,
ローソン,no,,1,
優品360 Best Mart 360,no,,1,
全家便利商店,no,,6,
全聯福利中心,no,,95,
家樂福,no,,62,
百佳超級市場 PARKnSHOP,no,,4,
聖安娜餅屋 Saint Honore Cake Shop,no,,1,
