brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
Food Basics,exact,,food-basics.png,1,
Food Lion,exact,,food-lion.png,12,
Foodland,exact,,foodland.png,10,
FoodMaxx,exact,foodmaxx.svg,,110,
Fortinos,exact,,fortinos.png,1,
Franprix,exact,franprix.svg,,4626,yes
Fred Meyer,exact,fred-meyer.svg,,40,
Fresh,exact,,fresh.png,85,
Fresh Thyme,exact,,fresh-thyme.png,3,
FreshChoice,exact,,freshchoice.png,1,
FreshCo,exact,freshco.svg,freshco.png,1,
Fressnapf,exact,,fressnapf.png,1,
Froiz,exact,,froiz.png,2,
Fry's Food and Drug,no,,,2,
G20,exact,,g20.png,1077,yes
Gadis,exact,gadis.svg,,2,
Gamm Vert,exact,,gamm-vert.png,35,
Giant,exact,,giant.png,3,
Giant Eagle,exact,giant-eagle.svg,,1,
Giant Food,exact,giant-food.svg,,13,
Gibert Joseph,no,,,5,
GiFi,exact,,gifi.png,59,
Gigaboks,exact,gigaboks.svg,,459,yes
Globus,exact,globus.svg,globus.png,5,
Go Asia,exact,,go-asia.png,10,
Grand Frais,exact,,grand-frais.png,30,
Grocery Outlet,exact,grocery-outlet.svg,,407,yes
Géant Casino,no,,,6,
H Mart,exact,h-mart.svg,,9,
H-E-B,exact,,h-e-b.png,16,
Halyk Bank,exact,,halyk-bank.png,1,
Harris Teeter,exact,,harris-teeter.png,1,
Healthy Planet,exact,,healthy-planet.png,3,
Hebe,exact,,hebe.png,4,
HELLWEG,exact,,hellweg.png,2,
HEMA,exact,hema.svg,,24,
Hemköp,exact,hemkop.svg,,8,
HiperDino,exact,,hiperdino.png,1,
HiperDino Express,exact,,hiperdino-express.png,1,
Hipermaxi,exact,,hipermaxi.png,1,
HIT,exact,,hit.png,87,
Hofer,exact,hofer.svg,,344,yes
Holland & Barrett,exact,,holland-barrett.png,3,
Home Bargains,exact,,home-bargains.png,3,
Homeplus,no,,,3,
Hudson's Bay,exact,,hudsons-bay.png,1,
Hyper U,exact,hyper-u.svg,,218,yes
ICA Kvantum,exact,,ica-kvantum.png,4,
ICA Nära,exact,,ica-nara.png,1,
ICA Supermarket,exact,,ica-supermarket.png,3,
Iceland,exact,,iceland.png,44,
IDEA Super,no,,,5,
IGA,exact,iga.svg,,8,
IKEA,exact,ikea.svg,,48,
IKI,no,,,7,
In's Mercato,exact,,ins-mercato.png,37,
Indomaret,exact,,indomaret.png,2,
Intermarché,exact,intermarche.svg,,10967,yes
Intermarché Contact,exact,,intermarche-contact.png,859,yes
Intermarché Drive,exact,,intermarche-drive.png,1,
Intermarché Express,exact,,intermarche-express.png,224,yes
Intermarché Hyper,exact,,intermarche-hyper.png,3334,yes
Intermarché Super,exact,,intermarche-super.png,1832,yes
